customer_id,name,email,phone,city,state,country,age,signup_date
1,Rebecca Lam,beth72@alexander.com,185.687.4971x888,Lake Jeffrey,Hawaii,French Southern Territories,25,2025-03-22
2,Robert Morales,gberger@hotmail.com,689.535.9532x92114,South Howard,New Hampshire,Trinidad and Tobago,65,2021-08-12
3,Brittney Nunez,psweeney@yahoo.com,0808159894,Maryhaven,West Virginia,Iraq,53,2025-09-13
4,Kevin Martinez,stacey42@gmail.com,(555)668-6424x98922,New Amandaside,New Jersey,Oman,49,2021-10-31
5,Kelli Chen,claytondaniel@yahoo.com,001-894-720-4823x202,Catherineberg,Connecticut,Guinea,36,2025-02-17
6,Jessica Molina,jacob72@moore.com,888.004.0638x37382,Lake Michelle,Utah,Bulgaria,56,2022-11-05
7,Dylan Ramsey,psteele@yahoo.com,144.865.3344x14084,Michelleland,Minnesota,Bermuda,64,2022-07-29
8,Alexandria Guerrero,yjohnson@yahoo.com,(395)133-4151x363,Port Christopherfurt,Illinois,Bermuda,52,2024-03-23
9,Jeffrey Lowery,emitchell@adams.info,469.949.2792,Erinside,Colorado,Christmas Island,18,2023-11-11
10,Jason Payne,robinsonnathaniel@jackson-jimenez.org,001-434-141-8414x71606,Osbornestad,Vermont,French Guiana,45,2025-10-06
11,Connie Navarro DDS,maureen87@roberson.com,140.858.2488x0166,Markchester,New Hampshire,Micronesia,69,2026-03-25
12,Nathan Sloan,haileybeasley@gmail.com,387.399.2707x2627,Christinafurt,Connecticut,Gabon,47,2023-08-06
13,Annette Walsh,sabrina76@henry-bell.com,(917)756-9866,Sandraburgh,Mississippi,Fiji,68,2022-03-08
14,Amy Vega,pberg@peck.org,(965)048-4371x81649,Paulhaven,North Dakota,Vietnam,36,2024-04-23
15,Teresa Guerra,stephaniecooke@simon-shepard.org,(698)290-4042,Port Cody,Oregon,Montenegro,62,2023-03-27
16,Adrienne Floyd,stacey20@wilson.info,484-585-7274x6909,Daughertymouth,Pennsylvania,Greenland,56,2023-03-01
17,Tiffany Walker,stanleysteele@duncan-tyler.info,(794)586-0520x22672,Jacksonshire,Oklahoma,Holy See (Vatican City State),38,2024-01-17
18,Martin Powers,tylerwong@gmail.com,+1-314-039-9863x5442,Leefurt,New York,British Virgin Islands,18,2024-06-24
19,Sabrina Clark,robert97@yahoo.com,816.580.8613x3845,Loveton,South Dakota,Taiwan,45,2024-01-24
20,Gregory Davis,douglasgilbert@peterson-knight.org,747-879-1246x0964,New Hannah,Nebraska,Guernsey,40,2026-03-19
21,Ashley Anderson MD,deborahmay@hotmail.com,(003)486-0789x509,Jameschester,Florida,Wallis and Futuna,68,2024-01-29
22,Robert Sweeney,ajackson@andersen.com,(612)488-2387,East Bradley,Oklahoma,Kuwait,30,2023-05-08
23,Charles Moore,juliemarshall@rodriguez.org,629.596.1311,Lake Walterstad,Pennsylvania,Venezuela,44,2021-07-12
24,Susan Brewer,elaine05@hotmail.com,248.393.4332x117,West Jenniferport,Missouri,Georgia,34,2024-10-09
25,Harold Kim,courtney09@morrison-lyons.biz,662-175-8999x6665,Julieberg,Nevada,Kazakhstan,18,2021-12-22
26,Lisa Richardson,tammie12@warner.org,(002)988-8197x5066,Jeremiahfort,Rhode Island,Suriname,25,2025-05-12
27,Tanner Cortez,brittany75@logan.com,001-602-002-0990x0343,Snyderborough,Montana,Nigeria,20,2022-12-17
28,Melissa Stone,ricekatherine@gmail.com,748.475.6542,South Crystaltown,Wisconsin,Saint Vincent and the Grenadines,60,2021-09-23
29,Steven Russell,hernandezannette@yahoo.com,235-820-2773x45341,East Tanya,Washington,Burundi,61,2021-12-21
30,Ashley Daniels,scotthayes@gmail.com,(672)930-0243,Port Sarahport,South Carolina,Burkina Faso,54,2022-04-18
31,Jennifer Crawford,jacobkramer@pitts.com,(125)615-4423,Garrettville,Connecticut,Netherlands,24,2021-09-24
32,Timothy Morris,cunninghamkristin@hotmail.com,080.328.6130x18491,New Carolyn,Hawaii,Gambia,23,2022-02-15
33,Melissa Moore,samueladams@hutchinson.com,(255)636-1446,West Tiffany,North Carolina,Armenia,23,2025-09-12
34,Richard Stone,swalker@murphy.com,602.961.8390x193,West Lisa,Rhode Island,Martinique,41,2021-10-29
35,Michael Maxwell,elizabethmunoz@yahoo.com,4258337865,Heathhaven,Washington,Samoa,19,2025-11-15
36,Shelly Kemp,jose46@esparza-foster.com,676-150-2875x0354,Hayesbury,New Jersey,Barbados,55,2023-12-13
37,William Walker,nichole50@dyer.com,875-569-6365,South Julie,Montana,Gabon,46,2026-05-16
38,John Duran,stacycarrillo@garcia.com,059.016.2060x34132,South Jillland,Arkansas,Djibouti,46,2024-08-28
39,Andrew Thompson,shannonjessica@gmail.com,267-478-0266x188,Brownstad,Maine,Colombia,56,2024-07-10
40,Stacy Mccarthy,cindy87@hotmail.com,487-346-9637x8895,Laurenton,Nevada,Vanuatu,62,2022-12-11
41,Adam Rogers,michael79@perez-meyer.com,715.114.5220x4004,Jonathanport,West Virginia,Guatemala,22,2021-11-30
42,Christopher Chavez,thernandez@gmail.com,(220)907-5523x407,North Jason,Minnesota,Turks and Caicos Islands,22,2024-04-01
43,Christopher Wilson,carolyn34@fitzgerald.com,553-882-0520x9347,Port Michelleberg,Georgia,Suriname,30,2021-06-28
44,Steven Goodman,sullivandaisy@gmail.com,956.443.5490x1321,Herreraburgh,Georgia,Cape Verde,25,2023-05-15
45,Jason Cordova,hickssara@yahoo.com,+1-530-715-8629x6559,Mortonhaven,Vermont,Malaysia,63,2021-10-19
46,David Parker,asalinas@gmail.com,001-879-929-6231x26295,Michaelfurt,Illinois,Portugal,55,2026-05-17
47,Christian Wyatt,crystalsteele@wood-mason.net,651.504.9011,Navarromouth,Florida,Guadeloupe,44,2023-01-17
48,Gina Daugherty,stephaniecollins@johnson-lin.net,514.980.7066x927,Cindyshire,Idaho,Jersey,55,2022-11-29
49,Christopher Ryan,jason10@davis-salazar.com,112-167-9616,South Jesusburgh,North Dakota,Greenland,38,2021-12-15
50,Willie Costa,billy60@yahoo.com,(615)512-2424x36157,Tarahaven,Oregon,Turks and Caicos Islands,28,2024-08-14
51,Timothy Martin,ygraham@may-norman.com,001-539-918-3343,Annetteton,Wisconsin,Australia,53,2024-12-13
52,Gina Howard,timothybrooks@garcia.org,815-113-1562x631,Bryantshire,Utah,Saint Helena,32,2022-04-07
53,Lawrence Clay,josephaustin@gmail.com,766-380-6222x9337,South Stevenborough,South Carolina,French Guiana,18,2024-07-22
54,Blake Chang,dhull@yahoo.com,783.653.6299,New Nataliechester,Wyoming,Papua New Guinea,59,2023-04-08
55,Bethany Harvey,shannonsims@hotmail.com,887.037.5778x68718,South Jeffrey,Virginia,Macedonia,61,2024-08-25
56,Scott Hunter,rodney34@gmail.com,183-766-8064x189,Drewhaven,Arkansas,Saint Lucia,46,2026-01-09
57,Hunter Rose,cameronrich@gmail.com,(542)591-8321,North Roberthaven,Tennessee,Aruba,22,2021-09-06
58,Cesar Ritter,jessegarza@yahoo.com,684-733-2084,Port Annetteshire,Missouri,Eritrea,40,2025-06-20
59,Andrew Buck,smithjames@barton-barrett.com,903-075-4872x781,New Mistybury,Minnesota,Ghana,48,2023-02-10
60,Anthony Wilson,joseramos@trevino-hunt.info,874.526.6549x608,Lake Jeffrey,Florida,Thailand,52,2025-08-07
61,Jennifer Walker,hamiltonjesus@sanders.com,001-661-865-5015x7148,Tuckerview,Illinois,Tonga,31,2021-09-01
62,Rebecca Smith,uchristensen@houston.com,792.505.2270x26810,Lake Anthony,West Virginia,Niger,47,2024-10-12
63,Joseph Lopez Jr.,schmidtwilliam@mendoza-vasquez.com,001-444-797-2712x13793,Jesseside,New Hampshire,Cyprus,38,2024-12-31
64,Madison Wolf,valerie82@gmail.com,966-996-2395x0060,East Johnmouth,New Mexico,Cayman Islands,70,2021-08-01
65,Cody Elliott,derekmason@gmail.com,551.720.0709x0332,East Christine,North Dakota,Faroe Islands,58,2023-07-23
66,Erin Greer,wesleyjenkins@vega.biz,001-998-140-5122x277,Chambersborough,Rhode Island,Sierra Leone,44,2023-03-02
67,Morgan Perry,xrodriguez@hotmail.com,(883)786-5254x2473,Wadefort,South Carolina,United Kingdom,18,2022-02-16
68,Hailey Rodriguez,jamescarolyn@barrett.net,(807)600-2613x4362,Gibsonport,Maryland,French Southern Territories,53,2025-11-19
69,Robert Villanueva,daniellebutler@stewart.info,(715)246-8273,South Corey,Mississippi,Liechtenstein,54,2023-07-01
